"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-04-22,5.1,-0.2,12.5,0,0,13,1020.7,3.3,-0.1,8.9,12.1,1020.2,0,5.4,1.6,8.8,0,3,26.9,1017.6
2021-04-23,7.5,0.3,15.3,0,0,8.6,1020.1,6.2,-0.1,13.9,9.8,1020.5,0.1,9.5,3.2,14.3,0,0,17.9,1017.8
2021-04-24,10.4,8.6,12,5.8,0,11.5,1011.9,7,1.9,10.9,8.4,1013.5,6.9,12.3,7.7,16.6,0.2,0,12,1013.6
2021-04-25,11.4,6.4,18.1,0,0,10.1,1015,9.9,4.9,15.9,13,1014.7,0.3,9.3,6.6,11,0.3,0,16.3,1013.8
2021-04-26,13.7,6.4,23.1,0,0,13.7,1017.6,10.8,-0.1,20.9,8,1019.1,0,8.1,3.8,15.5,0,0,15.8,1020.5
2021-04-27,19.7,13.6,27.5,0,0,18,1013.3,20.1,11.9,26.9,18,1014.4,0,21.1,11,28.2,0,0,20,1011.4
2021-04-28,22.2,18.1,27.5,4.6,0,14.8,1013.1,21.8,17.9,25.9,15.8,1013.9,1.4,22.5,13.8,26,0,0,21.6,1009.9
2021-04-29,19.4,11.4,21.4,34,0,19.1,1008.6,17.3,11.9,20.9,18.5,1008.8,16.3,10.9,9.3,13.2,39.1,0,15.6,1007.1
2021-04-30,15.4,7,22,0,0,22.3,1016.8,13,7.9,18.9,21,1015.7,0.5,10.5,8.2,12.1,2.5,0,29.8,1013.1
2021-05-01,11.8,2,22,0,0,15.1,1018.5,10.9,-0.1,19.9,10.2,1018.6,0,12.6,6.6,18.8,0,0,19.5,1015.9
2021-05-02,19,14.2,25.3,0.5,0,15.1,1010.6,19.5,12.9,25.9,16,1011.5,0,22.8,18.8,27.1,0,0,27.9,1006.4
2021-05-03,18.2,14.7,24.2,7.1,0,16.2,1004.2,16.3,11.9,21.9,10.3,1005.9,18.6,17.2,14.3,22.7,5.6,0,14.4,1004.8
2021-05-04,19.1,13.6,23.1,27.2,0,14.8,1006.4,17.7,14.9,21.9,13.5,1007.2,4.4,16.3,10.5,21,0.3,0,13.3,1005.3
2021-05-05,13.7,8.1,17.5,1.8,0,18.4,1014.8,11.3,4.9,14.9,14.2,1014.4,8.9,9.6,8.2,10.5,2,0,16.6,1014.1
2021-05-06,11.4,4.2,18.1,4.3,0,7.9,1018.6,9.3,1.9,15.9,6.7,1019.2,0.3,10.1,6,12.7,4.1,0,11.3,1018.8
2021-05-07,11.2,5.9,17.5,6.6,0,14.8,1015.6,9.7,6.9,13.9,13.5,1014.9,7.6,8.9,7.1,11.6,7.4,0,12.1,1014
